Doc;Values
0100264-67.2019.5.01.0014.pdf;0
0100112-05.2019.5.01.0051.pdf;0
0010058-90.2013.5.01.0022.pdf;7500
0100214-84.2019.5.01.0226.pdf;0
0100204-91.2019.5.01.0015.pdf;0
0100347-97.2019.5.01.0074.pdf;20000
0100348-82.2019.5.01.0074.pdf;20000
0100418-82.2019.5.01.0015.pdf;0
0100383-18.2019.5.01.0082.pdf;0
0100201-30.2019.5.01.0018.pdf;10000
0100518-40.2019.5.01.0014.pdf;0
0100089-65.2016.5.01.0471.pdf;8794,94
0101344-41.2018.5.01.0066.pdf;12000
0100115-41.2019.5.01.0024.pdf;1000
0100236-30.2019.5.01.0037.pdf;18125,39
0101335-79.2018.5.01.0066.pdf;8000
0100378-20.2019.5.01.0074.pdf;10000
0100013-59.2019.5.01.0043.pdf;6976,78
0010075-75.2013.5.01.0039(1).pdf;4000
0100250-17.2019.5.01.0521.pdf;0
0011328-06.2013.5.01.0005.pdf;5000
0100064-73.2019.5.01.0042.pdf;0
0100124-23.2019.5.01.0082.pdf;5343,54
0100205-93.2019.5.01.0074.pdf;6000
0100225-08.2019.5.01.0067.pdf;6126,11
0100364-53.2019.5.01.0521.pdf;0
0100131-11.2019.5.01.0051.pdf;6500
0100224-93.2019.5.01.0076.pdf;6500
0010231-68.2013.5.01.0005.pdf;7000
0100338-59.2019.5.01.0067.pdf;7000
0101240-48.2018.5.01.0034.pdf;7000
0100116-66.2019.5.01.0043.pdf;8665,1
0100066-09.2019.5.01.0021.pdf;0
0100075-32.2019.5.01.0033.pdf;8000
0100413-55.2019.5.01.0049.pdf;8000
0101302-07.2018.5.01.0061.pdf;8714,49
0010936-66.2013.5.01.0005.pdf;9461,45
0100121-72.2019.5.01.0501.pdf;9751
0100292-84.2019.5.01.0030.pdf;10000
0101346-58.2018.5.01.0018.pdf;10000
0100346-40.2019.5.01.0001.pdf;10000
0100034-39.2019.5.01.0074.pdf;10000
0100060-70.2019.5.01.0063.pdf;10000
0100123-86.2019.5.01.0066.pdf;10000
0100175-31.2019.5.01.0471.pdf;11418,88
0010071-43.2013.5.01.0005.pdf;10694,72
0100109-51.2019.5.01.0471.pdf;11688,35
0100121-68.2019.5.01.0082.pdf;5448,2
0010548-67.2013.5.01.0037.pdf;10958,79
0100085-07.2019.5.01.0056.pdf;11012,18
0010859-60.2013.5.01.0004.pdf;11409,28
0010687-18.2013.5.01.0005.pdf;11979,77
0101096-19.2018.5.01.0020.pdf;11990,47
0100061-40.2019.5.01.0068.pdf;12000
0010696-45.2013.5.01.0242.pdf;12000
0100259-84.2019.5.01.0001.pdf;13256,11
0100506-43.2019.5.01.0073.pdf;0
0100352-25.2019.5.01.0073.pdf;0
0101696-22.2017.5.01.0005.pdf;12670,78
0100262-09.2019.5.01.0011.pdf;15000
0100308-50.2019.5.01.0026.pdf;15000
0100240-56.2019.5.01.0073.pdf;15000
0100353-54.2019.5.01.0026.pdf;15000
0100014-17.2019.5.01.0052.pdf;15000
0100123-64.2019.5.01.0041.pdf;16471
0100136-46.2019.5.01.0079 (1).pdf;17000
0100168-42.2019.5.01.0082.pdf;0
0100330-94.2019.5.01.0063.pdf;0
0100255-47.2019.5.01.0001.pdf;20000
0100251-10.2019.5.01.0001.pdf;20000
0100308-28.2019.5.01.0001.pdf;20000
0100335-61.2019.5.01.0049.pdf;22575,45
0010059-32.2013.5.01.0004.pdf;20000
0100367-66.2019.5.01.0049.pdf;22523,75
0100242-26.2019.5.01.0073.pdf;0
0100189-56.2019.5.01.0522.pdf;0
0100253-77.2019.5.01.0001.pdf;25000
0100343-44.2017.5.01.0005.pdf;25000
0100313-94.2019.5.01.0051.pdf;30000
0102669-34.2017.5.01.0471.pdf;32049,32
0100530-79.2019.5.01.0038.pdf;0
0102668-49.2017.5.01.0471.pdf;40128,75
0103193-31.2017.5.01.0471.pdf;44231,19
0100324-54.2019.5.01.0074.pdf;20000
0103104-08.2017.5.01.0471.pdf;48313,29
0010529-60.2013.5.01.0005.pdf;50000
0101546-41.2017.5.01.0005.pdf;63961,39
